date,media,folder,group,title,topics,url,featured,featured_rank,naver_search
2025-05-15,전자신문,AI,media-ai,"AI 코딩 시대, 시니어 개발자의 재발견",바이브코딩; 시니어; 개발자,https://www.etnews.com/20250515000230,true,12,https://search.naver.com/search.naver?where=news&query=%5B%EA%B9%80%ED%98%B8%EA%B4%91%20%EC%B9%BC%EB%9F%BC%5D%20AI%20%EC%BD%94%EB%94%A9%20%EC%8B%9C%EB%8C%80%2C%20%EC%8B%9C%EB%8B%88%EC%96%B4%20%EA%B0%9C%EB%B0%9C%EC%9E%90%EC%9D%98%20%EC%9E%AC%EB%B0%9C%EA%B2%AC
2025-05-07,전자신문,AI,media-ai,인공지능은 공공 기관의 낭비를 줄일 수 있을까?,공공; AI; 효율,https://www.etnews.com/20250507000379,false,,https://search.naver.com/search.naver?where=news&query=%5B%EA%B9%80%ED%98%B8%EA%B4%91%20%EC%B9%BC%EB%9F%BC%5D%20%EC%9D%B8%EA%B3%B5%EC%A7%80%EB%8A%A5%EC%9D%80%20%EA%B3%B5%EA%B3%B5%20%EA%B8%B0%EA%B4%80%EC%9D%98%20%EB%82%AD%EB%B9%84%EB%A5%BC%20%EC%A4%84%EC%9D%BC%20%EC%88%98%20%EC%9E%88%EC%9D%84%EA%B9%8C%3F
2025-04-28,전자신문,AI,media-ai,"바이브 코딩(Vibe Coding), 인공지능과의 페어 프로그래밍",바이브코딩; AI코딩,https://www.etnews.com/20250428000150,false,,https://search.naver.com/search.naver?where=news&query=%5B%EA%B9%80%ED%98%B8%EA%B4%91%20%EC%B9%BC%EB%9F%BC%5D%20%EB%B0%94%EC%9D%B4%EB%B8%8C%20%EC%BD%94%EB%94%A9(Vibe%20Coding)%2C%20%EC%9D%B8%EA%B3%B5%EC%A7%80%EB%8A%A5%EA%B3%BC%EC%9D%98%20%ED%8E%98%EC%96%B4%20%ED%94%84%EB%A1%9C%EA%B7%B8%EB%9E%98%EB%B0%8D
2025-04-21,전자신문,Security,media-security,"사이버 보안의 최전선, 셧다운 위기에서 살아나다",보안; 셧다운,https://www.etnews.com/20250421000054,false,,https://search.naver.com/search.naver?where=news&query=%5B%EA%B9%80%ED%98%B8%EA%B4%91%20%EC%B9%BC%EB%9F%BC%5D%20%EC%82%AC%EC%9D%B4%EB%B2%84%20%EB%B3%B4%EC%95%88%EC%9D%98%20%EC%B5%9C%EC%A0%84%EC%84%A0%2C%20%EC%85%A7%EB%8B%A4%EC%9A%B4%20%EC%9C%84%EA%B8%B0%EC%97%90%EC%84%9C%20%EC%82%B4%EC%95%84%EB%82%98%EB%8B%A4
2025-04-14,전자신문,Crypto-Stablecoin,media-crypto,스테이블코인의 혁명: USD1의 도전과 금융 미래의 재편,USD1; 스테이블코인,https://www.etnews.com/20250414000067,false,,https://search.naver.com/search.naver?where=news&query=%5B%EA%B9%80%ED%98%B8%EA%B4%91%20%EC%B9%BC%EB%9F%BC%5D%20%EC%8A%A4%ED%85%8C%EC%9D%B4%EB%B8%94%EC%BD%94%EC%9D%B8%EC%9D%98%20%ED%98%81%EB%AA%85%3A%20USD1%EC%9D%98%20%EB%8F%84%EC%A0%84%EA%B3%BC%20%EA%B8%88%EC%9C%B5%20%EB%AF%B8%EB%9E%98%EC%9D%98%20%EC%9E%AC%ED%8E%B8
2025-04-07,전자신문,Society-Culture,media-society,인공지능은 자살이 우려되는 사람을 어떻게 찾고 살릴 수 있는가,AI; 헬스케어; 자살예방,,false,,https://search.naver.com/search.naver?where=news&query=%5B%EA%B9%80%ED%98%B8%EA%B4%91%20%EC%B9%BC%EB%9F%BC%5D%20%EC%9D%B8%EA%B3%B5%EC%A7%80%EB%8A%A5%EC%9D%80%20%EC%9E%90%EC%82%B4%EC%9D%B4%20%EC%9A%B0%EB%A0%A4%EB%90%98%EB%8A%94%20%EC%82%AC%EB%9E%8C%EC%9D%84%20%EC%96%B4%EB%96%BB%EA%B2%8C%20%EC%B0%BE%EA%B3%A0%20%EC%82%B4%EB%A6%B4%20%EC%88%98%20%EC%9E%88%EB%8A%94%EA%B0%80
2025-04-02,전자신문,AI,media-ai,인공지능 혁명은 왜 가난을 가속화 시킬까?,AI; 불평등; 노동,https://www.etnews.com/20250402000138,false,,https://search.naver.com/search.naver?where=news&query=%5B%EA%B9%80%ED%98%B8%EA%B4%91%20%EC%B9%BC%EB%9F%BC%5D%20%EC%9D%B8%EA%B3%B5%EC%A7%80%EB%8A%A5%20%ED%98%81%EB%AA%85%EC%9D%80%20%EC%99%9C%20%EA%B0%80%EB%82%9C%EC%9D%84%20%EA%B0%80%EC%86%8D%ED%99%94%20%EC%8B%9C%ED%82%AC%EA%B9%8C%3F
2025-03-24,전자신문,AI,media-ai,미국 투자은행의 인력 감축으로 보는 인공지능 혁명과 경제,투자은행; AI; 고용,,false,,https://search.naver.com/search.naver?where=news&query=%5B%EA%B9%80%ED%98%B8%EA%B4%91%20%EC%B9%BC%EB%9F%BC%5D%20%EB%AF%B8%EA%B5%AD%20%ED%88%AC%EC%9E%90%EC%9D%80%ED%96%89%EC%9D%98%20%EC%9D%B8%EB%A0%A5%20%EA%B0%90%EC%B6%95%EC%9C%BC%EB%A1%9C%20%EB%B3%B4%EB%8A%94%20%EC%9D%B8%EA%B3%B5%EC%A7%80%EB%8A%A5%20%ED%98%81%EB%AA%85%EA%B3%BC%20%EA%B2%BD%EC%A0%9C
2025-03-17,전자신문,Society-Culture,media-society,김새론 배우의 죽음을 애도하며: 기술이 예지하고 막을 수 있었던 비극,디지털폭력; 플랫폼,https://www.etnews.com/20250317000130,false,,https://search.naver.com/search.naver?where=news&query=%5B%EA%B9%80%ED%98%B8%EA%B4%91%20%EC%B9%BC%EB%9F%BC%5D%20%EA%B9%80%EC%83%88%EB%A1%A0%20%EB%B0%B0%EC%9A%B0%EC%9D%98%20%EC%A3%BD%EC%9D%8C%EC%9D%84%20%EC%95%A0%EB%8F%84%ED%95%98%EB%A9%B0%3A%20%EA%B8%B0%EC%88%A0%EC%9D%B4%20%EC%98%88%EC%A7%80%ED%95%98%EA%B3%A0%20%EB%A7%89%EC%9D%84%20%EC%88%98%20%EC%9E%88%EC%97%88%EB%8D%98%20%EB%B9%84%EA%B7%B9
2025-03-11,전자신문,Blockchain-P2E,media-blockchain,블록체인과 AI가 국민연금 개혁의 갈등을 조정하는 법,국민연금; 블록체인; AI,https://www.etnews.com/20250311000058,false,,https://search.naver.com/search.naver?where=news&query=%5B%EA%B9%80%ED%98%B8%EA%B4%91%20%EC%B9%BC%EB%9F%BC%5D%20%EB%B8%94%EB%A1%9D%EC%B2%B4%EC%9D%B8%EA%B3%BC%20AI%EA%B0%80%20%EA%B5%AD%EB%AF%BC%EC%97%B0%EA%B8%88%20%EA%B0%9C%ED%98%81%EC%9D%98%20%EA%B0%88%EB%93%B1%EC%9D%84%20%EC%A1%B0%EC%A0%95%ED%95%98%EB%8A%94%20%EB%B2%95
